,country,event,name,dist_km,year,finishers,duration
1148,ITA,106598,3 Santi Trail - L'eremitica,47.0,2025,163,0 days 04:51:38
149,GBR,99547,Three Castles 50km,50.0,2024,163,0 days 03:59:20
156,GBR,99668,Snowdonia Trail Ultra Marathon,60.0,2024,163,0 days 05:42:13.666666666
21,LIE,93188,Crossing Switzerland,390.0,2024,163,3 days 09:00:59
435,ITA,102234,TOR130 - Tot Dret,130.0,2024,163,0 days 22:32:31.750000
1216,FRA,107099,Ultrabaie,70.0,2024,162,0 days 05:38:27.500000
819,MON,104261,Ultra-Trail Côte d'Azur Mercantour-125km,119.0,2024,162,0 days 16:11:38.500000
1267,FRA,107497,Trail Mauves En Vert - Trail Long,59.0,2024,162,0 days 05:18:39
1660,ITA,111223,Ultra Trail Lago d'Orta (UTLO) 100 Km,101.0,2023,162,0 days 11:10:14
635,AUT,103606,Innsbruck Alpine Trailrun Festival K110,110.0,2025,162,0 days 11:53:30.250000
1156,GBR,106736,Maverick X Series South Downs,51.0,2024,161,0 days 04:06:00
1119,SVK,106156,Kokava Trail,78.0,2024,161,0 days 06:47:49
117,AUT,98929,Zugspitz Ehrwald Trail,87.0,2024,161,0 days 10:28:57
1347,POL,107998,Ultraroztocze 60km,62.0,2024,160,0 days 04:52:16
1428,ITA,108857,Asolo 100 km,100.0,2024,160,0 days 08:25:14.333333333
1548,SVK,109978,Ultra Fatra,58.0,2024,160,0 days 06:39:31.250000
1459,POL,109421,Lemkowyna Ultra Trail 100,102.0,2024,159,0 days 10:21:21.666666666
408,FRA,102118,Trail des Pyramides Noires 62 Km,62.0,2024,159,0 days 05:35:47
186,POR,100204,Vouga Trail Ultra 55km,55.0,2024,159,0 days 05:23:42.500000
1371,GBR,108310,Beat Box Hill 50k,50.0,2024,159,0 days 03:54:48
297,FRA,101396,Les 100 km de l'Ardèche,100.0,2025,159,0 days 07:49:28.666666666
1087,GRE,105653,Dromos Athanaton,142.0,2024,158,0 days 12:50:38.750000
1029,IRL,105111,The Kerry Way UltraLite,58.0,2024,158,0 days 05:47:42.250000
854,FRA,104421,L'Infernal Trail Des Vosges - IT130,130.0,2024,158,0 days 16:15:14.333333333
851,FRA,104418,Trail des 6 burons,75.0,2024,158,0 days 07:31:55.500000
1384,BEL,108348,Ohm Trail - XL,55.0,2024,158,0 days 05:28:41.666666666
960,FRA,104788,Trail d'Écouves et du Pays d'Alençon,61.0,2024,157,0 days 05:42:35.666666666
1070,AUT,105553,KAT100 - Endurance Trail,92.0,2023,157,0 days 09:57:58
628,ITA,103547,BVG Trail Ultra 55km,55.0,2025,156,0 days 05:32:50.666666666
369,GBR,101986,7 Valleys Ultra 110km,110.0,2024,155,0 days 12:21:55.500000
913,BEL,104631,Houffatrail 62km,62.0,2025,155,0 days 05:36:26.500000
1268,FRA,107499,Trail de la Passerelle - Le Nore,61.0,2024,154,0 days 05:56:15
387,FRA,102062,Ultra Trail Mayenne,85.0,2024,154,0 days 06:42:15
1270,FRA,107501,Munster'Trail,103.0,2022,153,0 days 11:00:06
957,FRA,104778,Trail Des Maures - Ultra des Maures,100.0,2025,153,0 days 11:06:34.333333333
57,HUN,97136,SzőlősKör - Hammer 50k,50.0,2024,153,0 days 03:28:18.800000
1038,ITA,105182,Ultra Trail del Marchesato,60.0,2025,153,0 days 05:39:21.750000
859,FRA,104426,Grand Raid du Finistère - La Lanvéoc,92.0,2024,153,0 days 07:53:59
1248,FRA,107446,Trail de la Roche D'Oëtre - 87km,87.0,2024,152,0 days 08:38:49.333333333
1069,FRA,105549,Trail du Tertre Gris - Le Maratrail,46.0,2024,152,0 days 03:54:18.333333333
1545,SUI,109975,Crossing Sarina,75.0,2024,152,0 days 08:56:30
1577,ITA,110490,Dolomiti di Brenta Trail 64km,64.0,2024,152,0 days 07:25:39.750000
33,BEL,95014,Houffatrail 49km,49.0,2025,151,0 days 04:24:58.600000
498,FRA,102784,Trail des Chamois,65.0,2025,151,0 days 06:38:48.666666666
551,FRA,102987,Trail du Wurzel,52.0,2025,151,0 days 04:32:59.500000
1751,FRA,113474,La Boucle du Coeur de l'Est - 45km,45.0,2024,150,0 days 06:19:43
1787,POL,117598,Ultramaraton Powstańca,63.0,2024,150,0 days 04:39:49.250000
1060,GBR,105376,14 Peaks Ultra,53.10822,2024,149,0 days 07:42:28
1594,ITA,110693,Trail degli Eroi,46.0,2024,149,0 days 04:47:45
462,FRA,102457,Thur Trail - Les 3 Vallons,49.0,2024,149,0 days 04:26:23
1542,NOR,109972,Skogvokteren Ultra,88.0,2024,148,0 days 08:56:36.333333333
277,SUI,101052,Lake Zuri 100 Endurance Run,106.0,2025,148,0 days 09:46:59
726,FRA,104044,Trail Tour Ti Benare,51.0,2024,148,0 days 06:29:27.500000
1004,ITA,104918,Valmaremola Ultra Trail,53.0,2025,148,0 days 04:47:34.666666666
704,FRA,103990,Grand Trail des Ecrins,57.0,2024,147,0 days 05:56:41.250000
231,ITA,100709,Crete Senesi Ultra Marathon,50.0,2025,147,0 days 03:50:31
205,NOR,100505,Jotunheimen Trail Run,75.0,2024,147,0 days 08:01:34
905,SUI,104567,SwissPeaks 360,367.0,2023,147,3 days 12:40:39
626,ITA,103542,TOR100 - Cervino-Monte Bianco,100.0,2024,147,0 days 15:49:11
1420,AUT,108680,Stubai Ultratrail K67,70.0,2024,147,0 days 08:18:27.500000
1464,GBR,109474,Stour Valley Path 50km Ultra Run,50.0,2024,146,0 days 04:02:38.500000
463,FRA,102458,Trail de Fontfroide,55.0,2024,146,0 days 04:53:00.500000
1315,ITA,107668,Le Porte di Pietra Trail,72.0,2024,146,0 days 07:19:31
1196,FRA,106932,Ultra Trail des Géants - SpeedGoat 117,128.0,2025,145,0 days 20:50:21
526,SUI,102908,Xtratrail Lavaux,50.0,2024,145,0 days 04:09:15.333333333
725,FRA,104042,Le Grand Duc Trail de Chartreuse - Ultra,77.0,2024,145,0 days 08:19:46.666666666
786,FRA,104172,Les 100 km du Perche - 50 km,50.0,2024,144,0 days 04:59:39.750000
148,GER,99499,TrailFestival 3Kings3Hills,54.0,2024,144,0 days 05:23:05.666666666
992,FRA,104879,Le Raid 97.4,99.0,2024,143,0 days 13:41:47
58,GER,97224,Brocken-Challenge,80.0,2025,143,0 days 07:26:30
1496,FRA,109722,Trail Tana Quest,64.0,2024,143,0 days 06:26:21.500000
1385,BEL,108349,Ohm Trail - Ultra,80.0,2024,143,0 days 07:57:11.333333333
1283,FRA,107515,Trail de Boeuvres-Baron-Corbinières,45.0,2024,143,0 days 03:50:35.250000
283,GBR,101095,Peak District Ultras - Peveril 33,53.10822,2024,142,0 days 05:29:17.500000
304,SWE,101457,Sörmlands 100 - 55km,55.0,2024,142,0 days 04:09:17
838,FRA,104354,Tchimbé du Volcan de la Martinique,53.0,2025,142,0 days 07:22:51.750000
855,FRA,104422,L'Infernal Trail Des Vosges - IT200,208.0,2024,142,1 days 08:09:12
812,GBR,104239,Dales Traverse 55km,55.0,2025,141,0 days 04:36:58
827,FRA,104271,Trail des Mélèzes du Mercantour,50.0,2024,141,0 days 05:42:24.250000
877,FRA,104481,Grands Trails d'Auvergne - 360° Ultra-Trail,135.0,2024,141,0 days 14:37:49.250000
862,FRA,104429,Le Grand Trail de Serre-Ponçon - Trail de Serre-Ponçon,74.0,2023,139,0 days 08:37:48
528,SUI,102911,Stoos Trail,46.0,2024,139,0 days 04:20:12
1755,BEL,113826,The Bello Gallico Trail 100mi,160.934,2024,138,0 days 15:26:30
809,GBR,104236,Northern Traverse 300km,300.0,2025,138,1 days 21:14:32
441,EST,102333,Taliharja Vanakuri Winter Ultra Endurance Race - 101km,101.0,2025,138,0 days 10:32:48.800000
1715,GRE,112316,South Olympus Forest Trail 54km,54.0,2024,137,0 days 05:26:24
923,SWE,104684,EcoTrail Stockholm 45 km,45.0,2024,137,0 days 03:44:08
1709,NED,112005,Zevenheuvelentrail,60.0,2024,136,0 days 04:21:03
1595,LUX,110698,Leopard Ultratrail du Mullerthal (UTML) - Long Trail 75km,75.0,2024,136,0 days 07:16:23.500000
573,FRA,103188,Trail de Mimet - Elite,45.0,2024,136,0 days 04:56:08.666666666
13,SUI,89785,Swissalps 100 - 100km,100.0,2024,136,0 days 12:57:06.500000
1203,FRA,106988,La Transju'trail 62km,62.0,2024,135,0 days 05:51:48
897,ESP,104558,Trail Menorca Costa Sud (TMCS),85.0,2024,135,0 days 07:05:36
1227,ITA,107253,Marguareis Ultra Tour,52.0,2024,135,0 days 05:36:00
1137,ITA,106418,Maremontana Trail 60 km,61.0,2023,135,0 days 06:16:36
781,FIN,104154,Ultra X 50 Finland,50.0,2024,135,0 days 04:40:03
719,GBR,104012,North Downs Way 100 Mile Race,165.76202,2024,135,0 days 16:38:00.250000
1568,GBR,110185,High Peak 40 Mile Challenge,64.3736,2024,135,0 days 06:37:24
1683,LTU,111614,Trail Kursiu Nerija 70km,71.0,2024,135,0 days 05:47:54.500000
378,BEL,102040,Trail de Chimay,50.0,2024,134,0 days 04:03:45.333333333
1741,ITA,113150,Conegliano Valdobbiadene Prosecco Ultra Trail,51.0,2024,134,0 days 04:39:24
1773,GRE,114525,Olympus Marathon Ultra,71.0,2024,134,0 days 11:04:13.333333333
218,HUN,100582,Szentlászló Trail 84 km,84.0,2024,134,0 days 08:39:46
1172,FRA,106783,L'Ultra Bri'zeuse,50.0,2024,134,0 days 03:59:56
702,FRA,103988,Les Drayes du Vercors,50.0,2024,134,0 days 05:11:19.333333333
959,FRA,104787,May'Etik Trail - MET 55,55.0,2024,133,0 days 04:20:24.500000
1398,SWE,108427,Gotland Ultramarathon,51.0,2024,133,0 days 03:51:44.750000
173,FIN,100033,NUTS Ylläs Pallas 160km Trail Ultra,160.0,2024,133,0 days 17:00:10
784,GBR,104163,Pendle Way In A Day  45mi,72.4203,2024,133,0 days 07:09:00
1215,FRA,107096,Trail Des Tordus,50.0,2024,132,0 days 03:59:20.500000
990,FRA,104875,Trail des Bauges - Parcours Expert,48.0,2024,132,0 days 04:42:18.250000
1275,FRA,107506,Grande Traversée Sud de France - 110km,110.0,2024,132,0 days 16:40:58
1481,FRA,109665,Trail du Soleil Levens - Parcours de l'Aigle,60.0,2024,132,0 days 07:03:41
555,FRA,103052,Trail Hivernal Les Mathes - La Palmyre,55.0,2024,132,0 days 04:16:44
1279,FRA,107510,Grand Raid des Cathares,161.0,2024,132,0 days 19:55:36.250000
1010,FRA,104973,Beaver Trail,62.0,2021,131,0 days 05:45:10
549,GER,102981,Rureifel-Trail,49.0,2024,131,0 days 04:12:15
1143,ITA,106551,Elba Trail,60.0,2025,131,0 days 06:19:58
60,GER,97297,Mountainman Reit im Winkl,52.0,2024,130,0 days 05:00:04.750000
1696,ITA,111795,Trail del Cinghiale 60km,60.0,2024,129,0 days 06:39:50.333333333
1779,ESP,114547,Ultra Trail Guara Somontano,102.0,2024,129,0 days 12:10:14.750000
1314,FRA,107667,Trail du Cagire,47.0,2024,129,0 days 05:12:25
484,GBR,102730,Ultra Scotland 50,90.12304,2024,129,0 days 09:44:30.333333333
1157,GBR,106738,Maverick Jurassic Ultra 100km,101.0,2024,129,0 days 10:59:45
1110,BEL,106026,LaThareé Trail  55 km,55.0,2024,128,0 days 06:01:19
914,SWE,104635,Sandsjöbacka Trail 60,60.0,2025,128,0 days 04:56:42.750000
1181,FRA,106850,Trail du Mont Chauve - La 52 - solo,52.0,2025,128,0 days 04:40:04.500000
1474,ITA,109589,Memorial Ultra Scalve Trail,47.0,2024,128,0 days 05:12:22
1169,FRA,106768,Trail des 3 rocs,49.0,2024,128,0 days 04:07:17
1048,FRA,105226,Ultra Trail du Haut-Koenigsbourg,102.0,2024,128,0 days 12:19:35.250000
385,BEL,102049,La Chouffe Trail 70km,70.0,2024,127,0 days 06:30:02
1153,GBR,106729,Maverick Exmoor Goat Ultra,58.0,2024,127,0 days 05:53:59.250000
1708,ITA,111981,Trail del Cinghiale 45km,45.0,2024,127,0 days 04:22:12
1260,FRA,107479,Fest'Trail Causses & Rougier - La Cardabelle,48.0,2024,127,0 days 04:10:31
570,FRA,103178,Traversée de la Baie de Saint-Brieuc,47.0,2024,127,0 days 03:28:35.333333333
472,GBR,102590,Winter on the Downs 55 Mile,88.5137,2024,126,0 days 08:01:23
1494,FRA,109720,Alpin Trail de Pichauris - Expert,85.0,2024,126,0 days 09:29:38
1449,AUT,109304,Paznaun Ischgl Ultratrail PIUT50,50.0,2024,125,0 days 04:58:29
1007,ITA,104965,50km del Conero - 4° Memorial Mimmo Strazzullo,50.0,2025,125,0 days 03:05:48.500000
820,FRA,104263,Trail Aquaterra - Les Manants de Port-Dieu,47.0,2024,125,0 days 05:08:27
1218,ITA,107118,Ultra Trail del Mugello,60.0,2025,125,0 days 06:01:28.250000
1130,GER,106259,52 km Ultra Rursee Marathon,52.0,2024,124,0 days 03:49:44.500000
606,FRA,103294,la PICaPICA,110.0,2024,124,1 days 01:04:44.333333333
1486,FRA,109680,Trail du Maquis du Vercors - Le Grand Tour des Maquisards,47.0,2024,124,0 days 04:38:01
1235,ESP,107373,Ultra Trail Barcelona,61.0,2024,123,0 days 05:28:04
245,GER,100757,Südthüringentrail - Riesentrail 47 km,47.0,2024,123,0 days 04:24:13
1597,ITA,110700,Adamello Half Trail 60 km,60.0,2024,123,0 days 07:38:40
1518,POL,109795,Bison Ultra-Trail 70,70.0,2024,123,0 days 05:41:35.750000
1651,FRA,111108,L'Ultra Menestrail de Moncontour,100.0,2024,122,0 days 10:35:26
1754,BEL,113825,The Bello Gallico Trail 50mi,80.467,2024,122,0 days 07:32:45
1430,ESP,108860,Ultra Montseny,80.0,2024,122,0 days 09:08:02.666666666
1675,POL,111412,Bieg 7 dolin - Bieg na dystansie 61 km,61.0,2024,122,0 days 05:44:17
828,FRA,104272,Mad'Trail,63.0,2024,122,0 days 08:22:12.750000
1147,DEN,106558,North Coast Ultra,50.0,2024,121,0 days 04:07:29.333333333
336,AUT,101772,Schwarzach Trail Salzburgerland 47 Km,47.0,2024,120,0 days 04:36:48.500000
482,FRA,102722,Trail des Vallées - 115km,115.0,2025,119,0 days 10:54:58.333333333
1498,FRA,109727,Tro Bro Melrant,45.0,2024,119,0 days 03:47:57.666666666
962,FRA,104790,Les Trails de la Factrice - La Bête Noire du Caroux,68.0,2024,119,0 days 08:32:49
311,POR,101547,Oh meu deus - Ultra Trail Serra da Estrela 50 km,56.0,2024,119,0 days 06:39:05
409,FRA,102119,Trail des Pyramides Noires 55 Km,55.0,2023,119,0 days 03:53:40
18,SUI,90858,Eiger Ultra Trail E250,246.0,2024,118,2 days 01:09:30
1294,HUN,107540,Vértesi Terep Ultramaraton,50.0,2024,118,0 days 03:54:53
1583,POR,110583,Ultra Trail do Marão UTM 60k,60.0,2024,118,0 days 07:03:39.500000
1183,POL,106852,Kudowski Festiwal Biegowy ,75.0,2021,117,0 days 07:54:57
899,ESP,104560,Trail Menorca - Cami de Cavalls (TMCDC),185.0,2024,117,0 days 18:34:45
244,GER,100756,Südthüringentrail - Heldentrail 65 km,65.0,2024,117,0 days 05:59:04.800000
1569,GER,110280,Rössleweg RunMob - Es ist wieder mal so weit...,57.0,2024,117,0 days 04:54:45
560,FRA,103157,Trail Natura Sioule - Les Trois Têtes,53.0,2025,116,0 days 04:51:52
379,NED,102041,Drielandenpunt Winter Trail,50.0,2025,116,0 days 03:54:12
1397,SWE,108426,Sörmland Ultra Marathon,50.0,2024,115,0 days 03:37:50.250000
1307,GBR,107610,Lakeland Five Passes Ultra,51.49888,2024,115,0 days 08:25:00.333333333
529,AUT,102913,Ultra-Alpinmarathon Veitsch,54.0,2024,114,0 days 04:07:21.500000
788,FRA,104176,Trail des Évoissons,80.0,2024,114,0 days 07:25:14
335,GER,101771,Urmensch Ultralauf,50.0,2024,114,0 days 03:45:21.333333333
204,GER,100502,Monschau-Ultra Marathon,56.0,2024,114,0 days 04:08:41.666666666
1254,FRA,107456,Bol d’Air de la Forêt de Mervent,52.0,2024,114,0 days 04:33:29.333333333
1492,GER,109711,Trail Marathon Heidelberg,50.0,2024,114,0 days 04:04:29.500000
1637,BUL,110993,Orehovo Ultra 50,52.0,2024,113,0 days 05:04:29
922,SWE,104683,EcoTrail Stockholm 80 km,80.0,2024,113,0 days 06:46:54.400000
1690,POL,111749,Garmin Ultra Race Myslenice 49km,49.0,2024,113,0 days 04:55:49
1276,FRA,107507,100 Miles Sud de France,166.0,2024,112,1 days 01:48:31.500000
83,GBR,98281,The Eddum ,80.467,2024,112,0 days 08:53:30
598,FRA,103287,Ultra-trail Tour de Nancy - Chardon,64.0,2024,112,0 days 06:17:02
399,FRA,102086,Trail des 3 Châteaux - La Grande Traversée,66.0,2025,112,0 days 06:14:23.500000
155,GBR,99667,Lakeland Trails Ultra Race 55 km,55.0,2024,111,0 days 05:49:56.600000
572,NOR,103183,KRS Ultra,60.0,2024,111,0 days 05:37:08.333333333
47,BEL,96753,Bostrails Aalter,47.0,2024,111,0 days 03:21:34.500000
1588,LUX,110653,The Great Escape 100 miles,160.934,2024,111,0 days 20:51:15
1044,FIN,105198,Nuuksio70 Trail Ultra,70.0,2024,111,0 days 06:28:38.750000
807,GBR,104218,Humanity Direct Amersham Ultra,49.88954,2024,111,0 days 04:01:51
1516,POL,109786,Pomerania Summer Trail ,45.0,2024,110,0 days 03:39:20
646,GER,103684,X-MAS Trail,47.0,2024,110,0 days 04:09:45.333333333
591,FRA,103227,RaidLight Trail Festival - Maratour,47.0,2024,110,0 days 04:40:45.500000
256,GBR,100825,Dartmoor In A Day Ultra,50.0,2024,110,0 days 05:03:15
52,GBR,96857,Endurancelife Northumberland Ultra,57.93624,2024,110,0 days 04:57:53
803,GBR,104192,TEC Wye Valley 60km,60.0,2024,110,0 days 05:37:22
1325,FRA,107709,Trail des Glières - L'Etoile des Neiges - solo,56.0,2024,110,0 days 05:38:34
522,GER,102903,Chiemgau Trail Run,60.0,2024,110,0 days 06:13:06.250000
1368,GBR,108306,Helvellyn Sky Ultra (formerly Lakes Sky Ultra),57.0,2024,110,0 days 07:21:58.666666666
1165,ITA,106764,Alpe della Luna Trail,52.0,2025,110,0 days 05:41:42.500000
605,FRA,103293,la PicAriège,70.0,2022,110,0 days 13:50:56
48,SUI,96811,Run Evasion Rhône,48.0,2025,110,0 days 03:24:00.250000
310,POR,101546,Oh meu deus - Ultra Trail Serra da Estrela 100 km,100.0,2024,109,0 days 12:13:17.500000
154,GBR,99666,Lakeland Trails Ultra 100 km,100.0,2024,109,0 days 12:15:15.750000
1015,FRA,104987,Le Trail du Beaujolais Vert - 110km,110.0,2022,109,0 days 12:51:24.500000
818,FRA,104260,Ultra-Trail Côte d'Azur Mercantour-75km,75.0,2021,108,0 days 09:29:07
151,GER,99605,Maintal-Ultratrail,64.0,2024,108,0 days 05:25:22.666666666
658,FRA,103781,Trail du Circuit de la Sûre,55.0,2024,108,0 days 06:31:29.666666666
929,SWE,104700,Fjällmaraton 100K,100.0,2024,107,0 days 09:39:29.500000
1113,ITA,106088,Trail Val di Bisenzio,54.0,2025,107,0 days 05:25:52.666666666
493,FRA,102775,Trail des Loups,59.0,2025,107,0 days 04:33:31.750000
1342,GER,107953,RUHM - Rosengarten Ultra Heide Marathon,50.0,2024,107,0 days 04:02:42.250000
864,FRA,104453,Trail des Etoiles - La Route des Contrebandiers,56.0,2024,107,0 days 06:41:10.666666666
1493,FRA,109719,Trail des Sapins - L'Infernale,48.0,2024,107,0 days 04:15:47.500000
1284,FRA,107516,Tour du Nipalou,53.0,2024,107,0 days 04:55:38.500000
8,NOR,83090,Lofoten Ultra Trail Marathon 48km,48.0,2024,106,0 days 05:45:11
563,FRA,103162,Trail de la Brie des Morin,61.0,2025,106,0 days 05:04:23.750000
837,FRA,104353,Trail du Gypaète - Les 3 Lacs,74.0,2024,106,0 days 09:16:50.666666666
981,FRA,104857,Chalmatrail - Chalma'rathon,45.0,2024,106,0 days 04:15:19
1175,GBR,106812,Stanza Stones 50 Mile Ultra,80.467,2024,106,0 days 08:03:39
1079,FRA,105589,Les Foulées des 2 Roches - Le Marathon du Guéry,50.0,2024,105,0 days 04:25:02.250000
1129,FRA,106257,Trail de l'Argent Double,60.0,2025,105,0 days 06:39:05
1340,ITA,107939,Chianti Classico Marathon Ultra Trail,53.0,2025,105,0 days 04:05:34.666666666
733,ITA,104065,Ronda Ghibellina Plus,80.467,2024,105,0 days 08:55:41
400,ITA,102087,100km del Conero - 4° Memorial Mimmo Strazzullo,100.0,2025,105,0 days 06:50:25.750000
521,GER,102901,Heuchelbergtrail - 50 km,50.0,2024,104,0 days 04:12:25.750000
849,FRA,104416,Cenis Tour Trail - Trail Noir,78.0,2024,104,0 days 09:34:44.750000
874,FRA,104478,Grands Trails d'Auvergne - Trail des Druides - en duo,49.0,2024,104,0 days 05:20:57.500000
824,FRA,104268,Jurapics - L'Epic,50.0,2024,103,0 days 05:45:57
608,GBR,103420,Saint Edmunds Trail Ultra Marathon,50.0,2024,103,0 days 03:52:34
881,GER,104491,Wendelstein Ultra,59.0,2024,103,0 days 05:50:12
393,FRA,102077,Trail des Calanques - Parcours Envau,56.0,2025,103,0 days 06:13:48
1590,DEN,110655,100 Miles - Around the isle of Mors,160.934,2024,103,0 days 13:49:12.500000
410,FRA,102120,Trail des Pyramides Noires 84 Km,84.0,2024,102,0 days 08:39:49
321,GBR,101570,Northants Ultra 35 Shires & Spires,56.3269,2025,102,0 days 04:20:55.600000
1226,ITA,107252,Vibram Max...i Trail Mottarone,75.0,2025,102,0 days 06:21:16
363,GER,101933,RAG-Hartfüßler-Trail 58 km,58.0,2024,102,0 days 04:44:47.666666666
1730,SUI,112655,Trail du Besso,57.0,2024,102,0 days 09:21:51.750000
1001,FRA,104894,Ultra Castle Tour,103.0,2024,101,0 days 09:43:11.666666666
940,SWE,104741,Göteborg Trailrun,45.0,2024,101,0 days 04:56:42.500000
799,GBR,104188,TEC Lulworth Cove 45km,45.0,2024,101,0 days 04:50:49
72,SUI,97847,Trail de Calabri,70.0,2025,101,0 days 06:51:33.400000
1644,NOR,111017,Stranda Fjord Trail Race - 48km,48.0,2022,100,0 days 15:54:52
502,GBR,102805,Chalkland Way Ultra,70.81096,2024,100,0 days 06:01:28
1361,ITA,108246,Ultra Trail Oasi Zegna,70.0,2024,100,0 days 09:15:45
883,ITA,104537,Bettona Crossing,50.0,2024,100,0 days 04:27:15
898,ESP,104559,Trail Menorca Costa Nord (TMCN),100.0,2024,100,0 days 08:56:06.250000
978,FRA,104852,Extra Beaujolais Villages Trail (EBVT),63.0,2024,100,0 days 06:29:01.500000
1271,FRA,107502,Grand Raid de Camargue 66km,66.0,2024,99,0 days 05:40:48
101,GBR,98659,Ultra-Trail Snowdonia - 100mi,168.0,2024,99,1 days 01:28:09
585,FRA,103221,Trail de Haute-Provence - Adret de Lure,120.0,2024,99,0 days 16:41:41
1701,GBR,111827,Tweed Valley Ultra 65km,65.0,2024,99,0 days 05:33:47.666666666
1433,SUI,108890,Swiss Irontrail T53,53.0,2024,99,0 days 07:59:25
1298,BEL,107577,L.A.T Legends Ardennes Trail 60km,62.0,2025,98,0 days 05:30:12
760,ISL,104109,Hengill Ultra 53k,53.0,2024,98,0 days 04:34:27
638,DEN,103609,Ultraløbet Ringkøbing Fjord Rundt 100km,100.0,2024,98,0 days 08:18:49.250000
826,FRA,104270,Ultra Sud Canigou Montagne - 70km,70.0,2024,98,0 days 07:53:27
846,FRA,104413,Trail de l'Etendard,64.0,2024,97,0 days 07:20:40.750000
1702,GBR,111828,Tweed Valley Ultra 50km,50.0,2024,97,0 days 04:04:44.666666666
652,SVK,103774,Big Bear's Ultra BBU60+,62.0,2024,97,0 days 07:35:38
1206,FRA,106993,Trail de l'Odet,53.0,2024,97,0 days 04:01:24
789,FRA,104177,Ultrachampsaur - Le Tour de la Muande,60.0,2024,97,0 days 06:36:21.666666666
1639,BUL,110995,Thracian Ultra 50,50.0,2024,97,0 days 05:38:30.500000
1051,BEL,105266,Trail de la Siberie - 75km,76.0,2025,97,0 days 07:16:29
90,FRA,98350,Steenwerck 100km course,100.0,2024,97,0 days 06:58:28
12,SUI,89784,Swissalps 100 - 100mi,160.0,2024,97,1 days 01:31:08.750000
1615,FRA,110813,La Banakann,80.0,2024,97,0 days 10:19:34
1783,ITA,116745,Cavalcata carsica del sentiero 3,53.0,2024,97,0 days 04:30:58.500000
844,FRA,104410,Trail de la Barousse - Les Résistants,55.0,2024,96,0 days 06:30:03
1126,NED,106217,SallandTrail 80 km (50 Mijl),80.0,2025,96,0 days 06:29:15.250000
749,GBR,104084,Beacons Way Ultra 63,101.38842,2024,96,0 days 13:45:35
144,AUT,99445,Montafon Totale Trail,47.0,2024,96,0 days 06:15:13
1199,FRA,106940,Trail La Planèze,61.0,2024,96,0 days 08:40:51
215,GBR,100573,Round the Rock Jersey 48 Miles,77.24832,2024,95,0 days 06:21:20.666666666
1531,SLO,109925,Obala Ultra Trail 108km,108.0,2024,95,0 days 10:36:42
1061,GBR,105401,Roseland August Trail – Plague Rat,102.99776,2024,95,0 days 11:08:05.500000
1504,SLO,109753,K24 Ultra Trail - 100 km,100.0,2024,95,0 days 11:46:41
1472,FRA,109580,La H.O.T. du Père Noël,133.0,2024,94,0 days 14:06:48.750000
649,NED,103723,Indian Summer Ultra 100 km,100.0,2024,94,0 days 08:45:51
146,FRA,99488,Trail Tour du Massif Montmorencéen (2T2M) - 80km,82.0,2025,94,0 days 08:17:03.500000
1611,HUN,110808,Vadrózsa 50,52.0,2024,94,0 days 05:31:34.500000
921,SWE,104682,Björnfrossa Ultramaraton,65.0,2024,94,0 days 05:38:16.750000
1752,ITA,113703,Trail dello Sciamano,45.0,2024,93,0 days 03:58:21.666666666
1782,HUN,116522,Ultrabalaton Trail,115.0,2024,93,0 days 11:04:50.750000
1083,GRE,105614,Kronion Perasma 70 Km Ultra,68.0,2024,93,0 days 05:30:26
51,GBR,96856,Endurancelife Sussex Ultra,53.10822,2023,93,0 days 04:30:32
1616,FRA,110814,La Jung La,54.0,2024,93,0 days 08:04:31.666666666
1658,ITA,111221,100 km delle Alpi,100.0,2024,93,0 days 07:47:33
1292,FRA,107529,Ultra Vilain Trail,80.0,2022,93,0 days 07:27:54
1281,FRA,107512,Trail des Vallées d'Aigueblanche - La Tournée Générale,48.0,2024,93,0 days 05:25:08.500000
654,DEN,103777,Cold Hawaii Ultra 50km,50.0,2024,93,0 days 03:58:26.750000
53,GBR,96867,The Imber Ultra,53.10822,2024,93,0 days 04:08:52.666666666
78,SWE,98206,Aros Marathon,50.0,2025,92,0 days 03:33:15.500000
1482,FRA,109670,Trail de Saint-Héand,50.0,2024,92,0 days 03:50:05
1326,FRA,107710,Trail des Glières - L'Etoile des Neiges - duo,56.0,2024,92,0 days 06:06:53.333333333
209,GBR,100546,Cairngorms Ultra Trail,60.0,2024,92,0 days 05:16:49
777,FIN,104150,NUTS Karhunkierros 166km Trail Ultra,166.0,2024,92,0 days 18:24:11.500000
973,FRA,104840,Bruniquel Origine Trail - La GroHathon,52.0,2025,92,0 days 05:35:04
1141,ITA,106527,Adamello Ultra Trail 170 km,170.0,2024,92,1 days 02:52:50.250000
478,GER,102634,Bilstein BiMa 57 Ultra-Trail,57.0,2025,91,0 days 04:42:27.250000
893,POR,104553,Madeira Island Ultra Trail 85 km,85.0,2021,90,0 days 09:25:28
1502,GRE,109741,In the Steps of the Heroes,102.0,2024,90,0 days 09:07:03.500000
1440,ITA,109050,BUT Val Formazza - Bettelmatt Trail,53.0,2024,90,0 days 06:25:50.400000
1145,ITA,106555,The Abbots Way Ultra Trail,123.0,2024,90,0 days 15:18:10.833333333
1596,LUX,110699,Leopard Ultratrail du Mullerthal (UTML) - Ultratrail 111km,111.0,2024,90,0 days 11:25:54.500000
