,country,event,name,dist_km,year,finishers,duration
593,FRA,103233,Lozère Trail Long,52.0,2024,277,0 days 04:34:42
406,BEL,102106,Grizzly100,100.0,2024,276,0 days 08:59:30
17,SUI,90856,Swissalps 100 - 50km,50.0,2024,275,0 days 05:54:23
1019,ITA,105022,Brunello Crossing,45.0,2025,274,0 days 03:31:39
744,FRA,104077,Luchon Aneto Trail - L'Ultra Lat,85.0,2024,273,0 days 09:28:42.500000
762,IRL,104116,Maurice Mullins Ultra 50km,50.0,2024,271,0 days 04:16:44
796,FRA,104184,L'Échappée Belle - L'Intégrale 152km,152.0,2024,271,1 days 01:23:59.333333333
545,FRA,102963,Trans Aubrac - Trail du Mazuc,74.0,2025,270,0 days 06:39:10
1614,FRA,110812,Le Défi Bleu Martinique,58.0,2024,270,0 days 06:39:24.333333333
790,FRA,104178,Ultra Tour du Beaufortain,114.0,2024,269,0 days 15:12:50.666666666
412,FRA,102124,La 66 Grand Trail de L'Aspre,66.0,2025,265,0 days 06:14:49.750000
276,GBR,101036,Suffolk Coastal Path 50km,50.0,2024,265,0 days 03:41:39.333333333
847,FRA,104414,La Trois Bassinoise,50.0,2024,264,0 days 05:16:41
261,CRO,100941,Istria 100 by UTMB - 168km,168.0,2025,263,0 days 18:54:35.600000
0,ITA,73004,S1 TransKarst Ultra,54.0,2025,263,0 days 05:10:01
413,FRA,102125,Tontorrez Tontor,80.0,2025,262,0 days 09:38:40.500000
903,SUI,104565,SwissPeaks 100,96.0,2024,261,0 days 14:04:04.250000
538,FRA,102941,Trail des Reculées - Le Charismatique,53.0,2025,258,0 days 04:27:44
1770,BEL,114391,Bastogne - Wiltz - Bastogne,72.0,2024,257,0 days 05:24:50
1457,POL,109419,Lemkowyna Ultra Trail 48,48.0,2024,257,0 days 03:49:10
1604,FRA,110793,Madeloc Skytrail - Trail des Crêtes,45.0,2024,257,0 days 05:00:37
1447,ITA,109280,Trans d'Havet,80.0,2024,256,0 days 10:07:42.666666666
1519,POL,109796,Bison Ultra-Trail 50,50.0,2024,256,0 days 04:03:08.750000
71,SUI,97845,Trail d’Outremont,50.0,2025,255,0 days 04:31:13.600000
84,GBR,98282,The Ridum - Ridgeway Ultra Marathon,48.2802,2024,253,0 days 04:24:00
1269,FRA,107500,Munster'Trail - 62km,62.0,2024,253,0 days 05:55:26.500000
49,GBR,96854,Arc of Attrition by UTMB - Arc 100,160.934,2025,252,0 days 19:21:03.750000
392,POL,102075,Ultra Silesia Marathon,50.0,2024,250,0 days 03:14:10.500000
1209,ITA,106996,Genova Trail,45.0,2025,250,0 days 04:40:06.333333333
541,FRA,102950,Ultra Trail des Balcons d'Azur,68.0,2025,250,0 days 06:44:45.750000
1278,FRA,107509,Raid des Bogomiles,101.0,2024,250,0 days 10:35:04.750000
1376,NOR,108317,EcoTrail of Oslo 80 km,80.0,2024,249,0 days 07:02:18.750000
170,GBR,100030,Endurancelife Classic Quarter ,70.81096,2024,249,0 days 06:47:33.500000
1480,FRA,109645,Sparnatrail,61.0,2024,248,0 days 04:30:34.750000
1243,ITA,107413,Trail Sacred Forests 50km,50.0,2024,248,0 days 05:11:17
1495,FRA,109721,Raid Nocturne Le Puy-Firminy,69.0,2024,247,0 days 05:49:40
